date,ind,rain,ind,temp,ind,wetb,dewpt,vappr,rhum,msl
01/01/2018 00:00,0,0,0,4.6,0,3.5,1.8,6.9,82,991
01/01/2018 01:00,0,0.1,0,4.7,0,3.6,1.8,7,81,991.1
01/01/2018 02:00,0,0,0,4.8,0,3.7,1.9,7,81,991.1
01/01/2018 03:00,0,0,0,4.9,0,3.8,2.2,7.2,82,990.7
01/01/2018 04:00,0,0,0,5.3,0,4.1,2.3,7.2,81,990.3
01/01/2018 05:00,0,0,0,5.1,0,3.8,1.9,7,80,990
01/01/2018 06:00,0,0,0,5,0,3.8,1.9,7,80,990.9
01/01/2018 07:00,0,0,0,4.6,0,3.6,1.9,7,82,991.2
01/01/2018 08:00,0,0,0,4.3,0,3.4,2,7,84,991.8
01/01/2018 09:00,0,0,0,4.5,0,3.5,1.9,7,83,992.4
01/01/2018 10:00,0,0,0,5.6,0,4.3,2.3,7.2,79,992.9
01/01/2018 11:00,0,0,0,6.7,0,5.2,3,7.6,77,994.1
01/01/2018 12:00,0,0,0,7.5,0,5.6,3,7.6,73,994.8
01/01/2018 13:00,0,0.2,0,7.3,0,5.9,3.9,8.1,78,996.1
01/01/2018 14:00,0,0.1,0,6.4,0,5.2,3.5,7.8,81,998.3
01/01/2018 15:00,0,0,0,7.3,0,5.6,3.3,7.7,75,1000.1
01/01/2018 16:00,0,0,0,6.7,0,5,2.5,7.3,74,1001.9
01/01/2018 17:00,0,0,0,6.1,0,4.8,2.8,7.5,78,1003.6
01/01/2018 18:00,0,0,0,5.7,0,4.4,2.7,7.4,81,1004.9
01/01/2018 19:00,0,0,0,5.7,0,4.5,2.7,7.4,81,1006.2
01/01/2018 20:00,0,0,0,5,0,3.7,1.7,6.9,79,1007.4
01/01/2018 21:00,0,0,0,4.2,0,3,1,6.6,79,1007.8
01/01/2018 22:00,0,0,0,3.7,0,2.4,0.3,6.2,78,1008.5
01/01/2018 23:00,0,0,0,3.6,0,2.4,0.4,6.3,79,1008.8
02/01/2018 00:00,0,0,0,3.8,0,2.4,0.1,6.2,76,1008.9
02/01/2018 01:00,0,0,0,4.1,0,2.4,-0.3,6,73,1008.5
02/01/2018 02:00,0,0,0,4.5,0,2.8,0,6.1,72,1008.2
02/01/2018 03:00,0,0,0,4.6,0,2.9,0,6.1,72,1007.6
02/01/2018 04:00,0,0,0,4.8,0,3.1,0.4,6.3,73,1005.8
02/01/2018 05:00,0,0,0,5.2,0,3.7,1.5,6.8,76,1004.6
02/01/2018 06:00,0,0.5,0,5.8,0,5,3.9,8.1,87,1003.3
02/01/2018 07:00,0,0.8,0,6.4,0,5.7,4.8,8.6,89,999.8
02/01/2018 08:00,0,0.1,0,8.3,0,7.2,5.8,9.2,83,998.8
02/01/2018 09:00,0,0.5,0,8.9,0,8.1,7.1,10.1,88,998.1
02/01/2018 10:00,0,0,0,9,0,7.9,6.7,9.8,86,997.9
02/01/2018 11:00,0,0,0,9.9,0,8.5,7,10,82,997.8
02/01/2018 12:00,0,0,0,10,0,8.4,6.5,9.7,78,998
02/01/2018 13:00,0,0,0,10.2,0,8.4,6.3,9.5,76,997.1
02/01/2018 14:00,0,0,0,9.8,0,8.2,6.2,9.5,78,996.9
02/01/2018 15:00,0,0.7,0,8.9,0,7.8,6.5,9.7,85,995.2
02/01/2018 16:00,0,1.3,0,8.3,0,7.6,6.7,9.8,90,992.3
02/01/2018 17:00,0,0.4,0,8.2,0,7.6,6.7,9.8,90,988.8
02/01/2018 18:00,0,0.4,0,9.6,0,8.6,7.5,10.4,86,984
02/01/2018 19:00,0,0,0,11,0,8.8,6.4,9.6,73,982.5
02/01/2018 20:00,0,0,0,9.4,0,7.3,4.7,8.5,72,983.2
02/01/2018 21:00,0,0,0,8.6,0,6.4,3.6,7.9,70,983.4
02/01/2018 22:00,0,0.3,0,6.8,0,5.6,4.1,8.2,82,983.6
02/01/2018 23:00,0,0.6,0,5.7,0,4.8,3.5,7.9,85,984.1
03/01/2018 00:00,0,0.6,0,5.1,0,4.1,2.5,7.3,83,985.1
03/01/2018 01:00,0,0,0,5.3,0,3.9,1.9,7,78,985.7
03/01/2018 02:00,0,0,0,5.4,0,4.3,2.8,7.5,83,986.1
03/01/2018 03:00,0,0.3,0,5.8,0,4.7,3.3,7.7,84,987.1
03/01/2018 04:00,0,0.8,0,5.3,0,4.5,3.3,7.7,86,988.4
03/01/2018 05:00,0,0,0,4.9,0,4,2.6,7.4,85,989.3
03/01/2018 06:00,0,0.1,0,6,0,5.1,4,8.1,87,989.9
03/01/2018 07:00,0,0.2,0,6.5,0,5.2,3.5,7.9,81,991.2
03/01/2018 08:00,0,0,0,7.1,0,5.6,3.6,7.9,78,992.4
03/01/2018 09:00,0,0.1,0,6.7,0,5.4,3.6,7.9,80,993.4
03/01/2018 10:00,0,0,0,6.7,0,5.2,3.1,7.6,77,994.5
03/01/2018 11:00,0,0.1,0,6.9,0,5.6,3.8,8,80,995.8
03/01/2018 12:00,0,0.2,0,7.1,0,6.1,4.8,8.6,85,996.2
03/01/2018 13:00,0,0.8,0,7.5,0,6.3,4.8,8.6,82,996.2
03/01/2018 14:00,0,0.2,0,8.1,0,6.4,4.2,8.3,76,996.2
03/01/2018 15:00,0,0,0,8,0,6.3,4.2,8.2,76,996
03/01/2018 16:00,0,0,0,8.1,0,6.3,4.1,8.2,75,996.3
03/01/2018 17:00,0,0,0,8.1,0,6.3,4,8.1,75,996.9
03/01/2018 18:00,0,0,0,7.8,0,6.1,3.9,8.1,76,997.1
03/01/2018 19:00,0,0,0,7.3,0,5.9,4,8.1,79,997.3
03/01/2018 20:00,0,0,0,7.2,0,5.7,3.7,8,78,996.8
03/01/2018 21:00,0,0,0,6.9,0,5.3,3.1,7.6,76,996.4
03/01/2018 22:00,0,0,0,6.2,0,4.8,2.7,7.4,78,996.4
03/01/2018 23:00,0,0,0,6.3,0,5,3.2,7.7,80,996.2
04/01/2018 00:00,0,0,0,6.6,0,5.3,3.6,7.9,81,996.4
04/01/2018 01:00,0,0,0,6.7,0,5.4,3.6,7.9,81,995
04/01/2018 02:00,0,0.5,0,5.5,0,4.6,3.3,7.7,85,994.5
04/01/2018 03:00,0,2,0,4.6,0,4.2,3.5,7.9,92,992.9
04/01/2018 04:00,0,3.7,0,4.5,0,4.1,3.6,7.9,93,991.4
04/01/2018 05:00,0,0.7,0,4.2,0,3.8,3.4,7.8,94,988.7
04/01/2018 06:00,0,1.4,0,4.8,0,4.4,4,8.1,94,985.8
04/01/2018 07:00,0,0.5,0,5.9,0,5.5,4.9,8.7,93,984.8
04/01/2018 08:00,0,0.1,0,8,0,7.7,7.2,10.2,95,983.3
04/01/2018 09:00,0,0,0,9.5,0,8.3,7.1,10.1,84,982.8
04/01/2018 10:00,0,0.2,0,9.5,0,8.4,7.1,10.1,85,983.2
04/01/2018 11:00,0,0.3,0,5.6,0,4.6,3.2,7.7,84,987.1
04/01/2018 12:00,0,0,0,4.6,0,3.6,2.1,7.1,84,989.1
04/01/2018 13:00,0,0,0,6,0,4.9,3.3,7.7,82,990.3
04/01/2018 14:00,0,0,0,6.6,0,5.1,3,7.6,77,991.3
04/01/2018 15:00,0,0,0,6.6,0,4.9,2.4,7.3,74,991.6
04/01/2018 16:00,0,0,0,6.1,0,4.6,2.4,7.3,77,992.1
04/01/2018 17:00,0,0,0,5.5,0,4.3,2.6,7.4,82,992.1
04/01/2018 18:00,0,0,0,5.4,0,4.2,2.5,7.3,81,991.9
04/01/2018 19:00,0,0,0,5,0,3.9,2.3,7.2,82,991.2
04/01/2018 20:00,0,0,0,4.6,0,3.6,2.2,7.1,84,992
04/01/2018 21:00,0,0,0,4.5,0,3.6,2.2,7.2,85,991.6
04/01/2018 22:00,0,0,0,4.7,0,3.7,2.3,7.2,84,991.7
04/01/2018 23:00,0,0,0,4.6,0,3.6,2.1,7.1,83,991.2
05/01/2018 00:00,0,0,0,3.4,0,2.7,1.7,6.9,88,990.7
05/01/2018 01:00,0,0,0,2.8,0,2.4,1.8,7,93,989.8
05/01/2018 02:00,0,0,0,2.7,0,2.3,1.6,6.9,92,989.5
05/01/2018 03:00,0,0,0,3.3,0,2.7,1.9,7,90,989.5
05/01/2018 04:00,0,0,0,3.4,0,2.7,1.7,6.9,88,989.1
05/01/2018 05:00,0,0,0,2.5,0,2.1,1.4,6.7,92,989.4
05/01/2018 06:00,0,0,0,1.8,0,1.5,0.9,6.5,93,989.4
05/01/2018 07:00,0,0,0,1.6,0,1.3,0.8,6.5,94,989.8
05/01/2018 08:00,0,0,0,1.7,0,1.4,0.8,6.5,93,990.4
05/01/2018 09:00,0,0,0,2.1,0,1.7,1.1,6.6,93,990.9
05/01/2018 10:00,0,0,0,2,0,1.6,1,6.6,93,991.2
05/01/2018 11:00,0,0,0,2.6,0,2.1,1.4,6.7,91,991.7
05/01/2018 12:00,0,0,0,4.5,0,3.4,1.7,6.9,82,991.6
05/01/2018 13:00,0,0,0,6.2,0,4.3,1.4,6.8,71,991.7
05/01/2018 14:00,0,0,0,6.4,0,4.6,1.9,7,72,991.8
05/01/2018 15:00,0,0,0,5.9,0,4.3,1.9,7,75,992
05/01/2018 16:00,0,0,0,4.9,0,3.7,1.9,7,80,992.5
05/01/2018 17:00,0,0,0,3.5,0,2.6,1.3,6.7,85,993.2
05/01/2018 18:00,0,0,0,3.2,0,2.5,1.4,6.7,87,994.1
05/01/2018 19:00,0,0,0,2.9,0,2.2,0.9,6.5,86,995.1
05/01/2018 20:00,0,0,0,2.1,0,1.5,0.5,6.3,89,996.3
05/01/2018 21:00,0,0,0,0.8,0,0.4,-0.4,5.9,91,997.6
05/01/2018 22:00,0,0,0,0.6,0,0.3,-0.2,6,94,998.8
05/01/2018 23:00,0,0,0,0.7,0,0.5,0,6.1,95,1000.1
06/01/2018 00:00,0,0,0,0.3,0,0.1,-0.4,5.9,94,1001.4
06/01/2018 01:00,0,0,0,0.3,0,0.1,-0.3,6,95,1002.5
06/01/2018 02:00,0,0,0,0.4,0,0.2,-0.3,6,94,1003.5
06/01/2018 03:00,0,0,0,1.6,0,1.5,1.3,6.7,97,1004.9
06/01/2018 04:00,0,0,0,4.5,0,3.6,2.2,7.1,84,1005.9
06/01/2018 05:00,0,0,0,5.5,0,4.2,2.2,7.2,79,1007
06/01/2018 06:00,0,0,0,6,0,4.3,1.8,6.9,74,1008.4
06/01/2018 07:00,0,0,0,6.1,0,4.2,1.4,6.7,71,1009.9
06/01/2018 08:00,0,0,0,6.2,0,4.2,1.1,6.6,69,1011.4
06/01/2018 09:00,0,0,0,6.1,0,4.1,1,6.6,69,1013.2
06/01/2018 10:00,0,0,0,6.3,0,4.3,1.4,6.8,71,1014.6
06/01/2018 11:00,0,0,0,6.1,0,4,0.7,6.4,68,1015.9
06/01/2018 12:00,0,0,0,6.4,0,4,0.3,6.2,64,1016.7
06/01/2018 13:00,0,0,0,6.2,0,3.9,0.3,6.2,65,1017.7
06/01/2018 14:00,0,0,0,6.4,0,3.7,-0.8,5.8,60,1018.8
06/01/2018 15:00,0,0,0,6,0,3.4,-0.9,5.7,61,1020
06/01/2018 16:00,0,0,0,5.7,0,3,-1.4,5.5,60,1021
06/01/2018 17:00,0,0,0,5.2,0,2.8,-1.3,5.6,62,1022
06/01/2018 18:00,0,0,0,5.5,0,3,-1,5.7,63,1023.3
06/01/2018 19:00,0,0,0,5,0,2.8,-1,5.7,65,1024.2
06/01/2018 20:00,0,0,0,4.7,0,2.6,-0.9,5.7,66,1025.1
06/01/2018 21:00,0,0,0,4.6,0,2.9,0,6.1,72,1026.3
06/01/2018 22:00,0,0,0,4.1,0,2.4,-0.3,6,72,1026.8
06/01/2018 23:00,0,0,0,4,0,2.7,0.5,6.3,77,1027.4
07/01/2018 00:00,0,0,0,4.1,0,2.7,0.6,6.4,77,1027.9
07/01/2018 01:00,0,0,0,3.7,0,2.6,1,6.5,82,1028.1
07/01/2018 02:00,0,0,0,2.7,0,1.9,0.6,6.4,86,1028.8
07/01/2018 03:00,0,0,0,1.7,0,1.3,0.7,6.4,92,1028.8
07/01/2018 04:00,0,0,0,1.2,0,0.8,0.1,6.1,92,1029.1
07/01/2018 05:00,0,0,0,0.7,0,0.4,-0.2,6,93,1029.4
07/01/2018 06:00,0,0,0,0.9,0,0.4,-0.5,5.9,89,1029.9
07/01/2018 07:00,0,0,0,1.4,0,0.8,-0.4,5.9,87,1030.1
07/01/2018 08:00,0,0,0,4.3,0,2.4,-0.9,5.7,69,1030.9
07/01/2018 09:00,0,0,0,4.9,0,2.7,-1.2,5.6,64,1031.5
07/01/2018 10:00,0,0,0,5.2,0,2.8,-1.5,5.5,62,1031.9
07/01/2018 11:00,0,0,0,6,0,3.3,-1.2,5.6,60,1031.7
07/01/2018 12:00,0,0,0,6.1,0,3.3,-1.3,5.5,58,1031.1
07/01/2018 13:00,0,0,0,6.5,0,3.6,-1.2,5.6,57,1030.4
07/01/2018 14:00,0,0,0,5.5,0,2.8,-1.9,5.3,58,1030
07/01/2018 15:00,0,0,0,5.5,0,2.8,-1.8,5.4,59,1029.7
07/01/2018 16:00,0,0,0,5,0,2.4,-2.1,5.2,59,1029.2
07/01/2018 17:00,0,0,0,4.2,0,1.7,-3,4.9,59,1029
07/01/2018 18:00,0,0,0,3.7,0,1.5,-2.5,5.1,64,1029.2
07/01/2018 19:00,0,0,0,3.3,0,1.4,-2.2,5.2,67,1029
07/01/2018 20:00,0,0,0,3.7,0,1.4,-2.9,4.9,62,1028.8
07/01/2018 21:00,0,0,0,3.7,0,1,-4.5,4.4,54,1028.4
07/01/2018 22:00,0,0,0,3.3,0,0.8,-4.4,4.4,57,1028.1
07/01/2018 23:00,0,0,0,3.3,0,0.8,-4,4.6,59,1027.5
08/01/2018 00:00,0,0,0,3.1,0,0.7,-4.3,4.5,58,1027
08/01/2018 01:00,0,0,0,2.8,0,0.5,-4.1,4.5,60,1026.4
08/01/2018 02:00,0,0,0,1.9,0,0,-3.9,4.6,65,1026.2
08/01/2018 03:00,0,0,0,2.8,0,0.7,-3.6,4.7,62,1025.7
08/01/2018 04:00,0,0,0,2.5,0,0.1,-5,4.2,57,1025.2
08/01/2018 05:00,0,0,0,1.5,0,-0.7,-5.6,4,59,1024.9
08/01/2018 06:00,0,0,0,-1,0,-2.3,-5.3,4.1,72,1024.5
